#class tools::wcsv::ntuple
#title Geant4 step points
#separator 44
#vector_separator 59
#column int n
#column int m
#column int[] trk
#column int[] stp
#column int[] vlm
#column int[] pro
#column int[] pdg
#column int[] pid
#column double[] xx
#column double[] yy
#column double[] zz
#column double[] dt
#column double[] de
#column double[] dl
#column double[] l
#column double[] x
#column double[] y
#column double[] z
#column double[] t
#column double[] k
#column double[] p
#column double[] q
#column double[] et
1,1,1,2,1,1092,1000020040,0,0.002,-112.385,-50.3148,31.6535,643.876,0.00411964,514.941,0.002,-112.385,-50.3148,31.6535,4856.12,190328,2,643.876;643.876
1,1,1,2,1,1092,1000020040,0,0.002,-57.2661,-316.908,36.5586,778.944,0.00475806,594.737,0.002,-57.2661,-316.908,36.5586,4721.06,187661,2,778.944;778.944
1,1,1,2,1,1092,1000020040,0,0.002,-183.183,70.2391,33.0165,740.454,0.00429704,537.114,0.002,-183.183,70.2391,33.0165,4759.55,188425,2,740.454;740.454
1,1,1,2,1,1092,1000020040,0,0.002,306.017,95.8464,36.5133,749.131,0.00475215,593.999,0.002,306.017,95.8464,36.5133,4750.87,188253,2,749.131;749.131
1,1,1,2,1,1092,1000020040,0,0.002,-389.571,221.485,41.2732,898.769,0.00537168,671.434,0.002,-389.571,221.485,41.2732,4601.23,185263,2,898.769;898.769
1,1,1,2,1,1092,1000020040,0,0.002,130.086,256.512,35.4573,742.685,0.00461472,576.821,0.002,130.086,256.512,35.4573,4757.31,188381,2,742.685;742.685
1,1,1,2,1,1092,1000020040,0,0.002,-9.47705,-325.796,36.6888,739.902,0.004775,596.854,0.002,-9.47705,-325.796,36.6888,4760.1,188436,2,739.902;739.902
1,1,1,2,1,1092,1000020040,0,0.002,405.762,-309.672,43.9218,945.207,0.00571642,714.522,0.002,405.762,-309.672,43.9218,4554.79,184325,2,945.207;945.207
1,1,1,2,1,1092,1000020040,0,0.002,371.868,-251.888,41.3149,838.119,0.00537711,672.112,0.002,371.868,-251.888,41.3149,4661.88,186480,2,838.119;838.119
1,1,1,2,1,1092,1000020040,0,0.002,287.927,-62.521,35.6746,787.7,0.004643,580.356,0.002,287.927,-62.521,35.6746,4712.3,187487,2,787.7;787.7
1,1,1,2,1,1092,1000020040,0,0.002,71.2497,84.7141,31.4794,648.206,0.00409698,512.108,0.002,71.2497,84.7141,31.4794,4851.79,190243,2,648.206;648.206
1,1,1,2,1,1092,1000020040,0,0.002,235.197,-341.356,39.9246,880.335,0.00519615,649.495,0.002,235.197,-341.356,39.9246,4619.66,185634,2,880.335;880.335
1,1,1,2,1,1092,1000020040,0,0.002,47.4426,-2.58727,30.8737,621.762,0.00401815,502.254,0.002,47.4426,-2.58727,30.8737,4878.24,190761,2,621.762;621.762
1,1,1,2,1,1092,1000020040,0,0.002,223.664,-69.7694,33.9422,693.462,0.00441752,552.173,0.002,223.664,-69.7694,33.9422,4806.54,189353,2,693.462;693.462
1,1,1,2,1,1092,1000020040,0,0.002,231.232,-17.3532,33.8796,690.358,0.00440937,551.154,0.002,231.232,-17.3532,33.8796,4809.64,189414,2,690.358;690.358
1,1,1,2,1,1092,1000020040,0,0.002,83.3705,-11.7965,31.168,677.664,0.00405645,507.042,0.002,83.3705,-11.7965,31.168,4822.34,189664,2,677.664;677.664
1,1,1,2,1,1092,1000020040,0,0.002,168.777,248.948,35.8674,759.456,0.00466809,583.492,0.002,168.777,248.948,35.8674,4740.54,188048,2,759.456;759.456
